id,pattern,language,category,note
1,cancer,en,general,
2,cencer,en,general,Common misspelling of 'cancer' observed in NTIS free-text fields.
3,[^i]cance[^l],en,general,Catches 'cance' stems while excluding 'insignificance'/'significance' (preceding 'i') and 'cancel'/'cancelled' (following 'l').
4,cacner,en,general,Common misspelling of 'cancer' observed in NTIS free-text fields.
5,tumor,en,general,
6,tumour,en,general,
7,malignant,en,general,
8,malignanc,en,general,
9,carcinoma,en,general,
10,calcinoma,en,general,Common misspelling of 'carcinoma'.
11,sarcoma,en,general,
12,leukemia,en,general,
13,leukaemia,en,general,
14,lymphoma,en,general,
15,melanoma,en,general,
16,adenocarcinoma,en,general,
17,metastasis,en,general,
18,metastatic,en,general,
19,oncolog,en,general,
20,oncogen[ei],en,general,Matches both 'oncogene' and 'oncogeni(c)'.
21,neoplasm,en,general,
22,neoplasia,en,general,
23,neoplastic,en,general,
24,carcinogen,en,general,
25,cachexia,en,general,
26,breast cancer,en,site,
27,brca,en,general,BRCA1/BRCA2 gene family.
28,lung cancer,en,site,
29,prostate cancer,en,site,
30,colon cancer,en,site,
31,rectum cancer,en,site,
32,colorectal cancer,en,site,
33,pancreatic cancer,en,site,
34,liver cancer,en,site,
35,stomach cancer,en,site,
36,esophageal cancer,en,site,
37,ovarian cancer,en,site,
38,cervical cancer,en,site,
39,uterine cancer,en,site,
40,bladder cancer,en,site,
41,kidney cancer,en,site,
42,brain cancer,en,site,
43,skin cancer,en,site,
44,bone cancer,en,site,
45,blood cancer,en,site,
46,throat cancer,en,site,
47,mouth cancer,en,site,
48,tongue cancer,en,site,
49,thyroid cancer,en,site,
50,adrenal cancer,en,site,
51,testicular cancer,en,site,
52,penile cancer,en,site,
53,vulvar cancer,en,site,
54,vaginal cancer,en,site,
55,anal cancer,en,site,
56,gallbladder cancer,en,site,
57,bile duct cancer,en,site,
58,laryngeal cancer,en,site,
59,pharyngeal cancer,en,site,
60,blastoma,en,site,
61,glioma,en,site,
62,"rcc,",en,site,"Renal cell carcinoma abbreviation, comma-anchored so it matches only a whole entry in the comma-delimited keyword fields, not substrings of longer tokens."
63,",rcc",en,site,"Renal cell carcinoma abbreviation, comma-anchored (see 'rcc,')."
64,myeloma,en,site,
65,chemotherapy,en,treatment,
66,radiation therapy,en,treatment,
67,radiotherapy,en,treatment,
68,brachytherapy,en,treatment,
69,chemotherapeutic,en,treatment,
70,anticancer,en,treatment,
71,checkpoint inhibitor,en,treatment,
72,pd-1,en,treatment,
73,pd-l1,en,treatment,
74,car-t,en,treatment,
75,car cell therapy,en,treatment,
76,bone marrow transplant,en,treatment,
77,stem cell transplant,en,treatment,
78,radioisotope therapy,en,treatment,
79,antibody-drug conjugate,en,treatment,
80,암\s*진단,ko,general,
81,암\s*스크리닝,ko,general,
82,암\s*프로파일링,ko,general,
83,암\s*치료,ko,general,
84,",암,",ko,general,"Standalone Korean '암' (cancer) anchored by commas so it matches only a whole entry in the comma-delimited keyword fields. Unanchored '암' would match 암반 (bedrock), 암호 (password/encryption), 암시 (hint), 암모니아 (ammonia), and many others."
85,"[^픽] 암,",ko,general,"Standalone '암' preceded by a space, excluding a preceding '픽' so that '픽 암' (from 픽업 and similar tokens) is not matched."
86,",암 [^시]",ko,general,"Standalone '암' followed by a space, excluding a following '시' so that '암 시...' (e.g. 암시, hint) is not matched."
87,발암,ko,general,
88,조기\s*암,ko,general,
89,암\s*대사,ko,general,
90,암\s*단백,ko,general,
91,암\s*미세환경,ko,general,
92,암\s*세포,ko,general,
93,암\s*줄기,ko,general,
94,암\s*영상,ko,general,
95,암\s*조직,ko,general,
96,암\s*발생,ko,general,
97,암\s*유발,ko,general,
98,암\s*형성,ko,general,
99,암\s*생존,ko,general,
100,암\s*수술,ko,general,
101,암\s*예방,ko,general,
102,암\s*진료,ko,general,
103,암\s*연구,ko,general,
104,암\s*환자,ko,general,Cancer patient. Appears twice in the source lexicon (harmless duplicate in an alternation); retained here as it ran.
105,암\s*질환,ko,general,
106,암\s*환자,ko,general,Cancer patient. Appears twice in the source lexicon (harmless duplicate in an alternation); retained here as it ran.
107,암\s*부담,ko,general,
108,암\s*코호트,ko,general,
109,암\s*사망,ko,general,
110,암\s*임상,ko,general,
111,암\s*표적,ko,general,
112,암\s*관련,ko,general,
113,전이암,ko,general,
114,전이성\s*암,ko,general,
115,암\s*전이,ko,general,
116,암\s*유전,ko,general,
117,암\s*위험,ko,general,
118,소아암,ko,site,
119,청소년암,ko,site,
120,난치암,ko,site,Intractable cancer. Appears twice in the source lexicon (harmless duplicate in an alternation); retained here as it ran.
121,재발암,ko,site,
122,침윤암,ko,site,
123,희귀암,ko,site,
124,난치암,ko,site,Intractable cancer. Appears twice in the source lexicon (harmless duplicate in an alternation); retained here as it ran.
125,암성,ko,general,
126,고형암,ko,site,
127,상피암,ko,site,
128,암종,ko,general,
129,혈액암,ko,site,
130,림프종,ko,general,
131,흑색종,ko,general,
132,백혈병,ko,general,
133,종양[^괴],ko,general,'종양' (tumour/neoplasm) excluding '종양괴' — avoids non-oncologic compounds beginning 종양괴.
134,악성암,ko,general,
135,암악성화,ko,general,
136,암 악성,ko,general,
137,악성세포,ko,general,
138,신생물,ko,general,
139,복막전이,ko,general,
140,뇌전이,ko,general,
141,림프절 전이,ko,general,
142,골\s*전이,ko,general,
143,악액질,ko,general,
144,유방암,ko,site,
145,폐암,ko,site,
146,전립선암,ko,site,
147,대장암,ko,site,
148,결장암,ko,site,
149,직장암,ko,site,
150,항문암,ko,site,
151,췌장암,ko,site,
152,간암,ko,site,
153,간세포암,ko,site,
154,위암,ko,site,
155,식도암,ko,site,
156,난소암,ko,site,
157,자궁경부암,ko,site,
158,자궁암,ko,site,
159,자궁내막암,ko,site,
160,부인암,ko,site,
161,방광암,ko,site,
162,신장암,ko,site,
163,신세포암,ko,site,
164,뇌암,ko,site,
165,피부암,ko,site,
166,골암,ko,site,
167,갑상선암,ko,site,
168,담도암,ko,site,
169,담관암,ko,site,
170,후두암,ko,site,
171,인두암,ko,site,
172,담낭암,ko,site,
173,구강암,ko,site,
174,설암,ko,site,
175,교모세포종,ko,site,
176,골수종,ko,site,
177,부신암,ko,site,
178,두경부암,ko,site,
179,편평세포암,ko,site,
180,상피내암,ko,site,
181,소화기암,ko,site,
182,침샘암,ko,site,
183,골육종,ko,site,
184,육종암,ko,site,
185,육종세포,ko,site,
186,카포시육종,ko,site,
187,카포시 육종,ko,site,
188,조직육종,ko,site,
189,조직 육종,ko,site,
190,혈관육종,ko,site,
191,지방육종,ko,site,
192,항암,ko,treatment,
193,화학\s*요법,ko,treatment,
194,방사선\s*치료,ko,treatment,
195,방사선\s*조사,ko,treatment,
196,방사선\s*요법,ko,treatment,
197,면역관문억제제,ko,treatment,
198,체크포인트억제제,ko,treatment,
199,조혈모세포이식,ko,treatment,
200,조혈줄기세포\s*이식,ko,treatment,
201,줄기세포이식,ko,treatment,
202,방사성동위원소치료,ko,treatment,
203,중입자\s*치료,ko,treatment,
204,항체-약물 복합체,ko,treatment,
