ko,en
암치료,Treatment
암진단,Diagnosis
항암제내성,Drug Resistance
암억제유전자,Tumor Suppressor Gene
항암활성,Anticancer Activity
마이크로RNA,microRNA
표적치료제,Targeted Therapy
항암제,Anticancer Drug
전이,Metastasis
세포사멸,Apoptosis
간암,Liver Cancer
유방암,Breast Cancer
위암,Stomach Cancer
신호전달,Signal Transduction
방사선치료,Radiation Therapy
대장암,Colon Cancer
바이오마커,Biomarker
폐암,Lung Cancer
줄기세포,Stem Cell
유전자,Gene
전립선암,Prostate Cancer
진단,Diagnosis
자궁경부암,Cervical Cancer
암세포,Cancer Cell
세포주기,Cell Cycle
혈관신생,Angiogenesis
암 치료,Cancer Treatment
뇌종양,Brain Tumor
난소암,Ovarian Cancer
예후,Prognosis
침윤,Invasion
발암,Carcinogenesis
조기진단,Early Diagnosis
천연물,Natural Product
나노입자,Nanoparticle
약물전달시스템,Drug Delivery System
프로테오믹스,Proteomics
항암효과,Anticancer Effect
분자영상,Molecular Imaging
자기공명영상,MRI
표적치료,Targeted Therapy
수지상세포,Dendritic Cell
혈액암,Blood Cancer
유전자치료,Gene Therapy
면역치료,Immunotherapy
염증,Inflammation
전사인자,Transcription Factor
활성산소,Reactive Oxygen Species
미토콘드리아,Mitochondria
전사조절,Transcriptional Regulation
췌장암,Pancreatic Cancer
돌연변이,Mutation
신약개발,Drug Development
항암제 내성,Anticancer Drug Resistance
암예방,Cancer Prevention
미세환경,Microenvironment
유전체,Genome
재발,Recurrence
표적항암제,Targeted Anticancer Drug
동물모델,Animal Model
두경부암,Head and Neck Cancer
저산소증,Hypoxia
항암화학요법,Chemotherapy
피부암,Skin Cancer
인공지능,Artificial Intelligence
정밀의학,Precision Medicine
엑소좀,Exosome
액체생검,Liquid Biopsy
딥러닝,Deep Learning
기계학습,Machine Learning
오가노이드,Organoid
삼중음성유방암,Triple Negative Breast Cancer
후성유전학,Epigenetics
빅데이터,Big Data
방광암,Bladder Cancer
면역항암제,Immuno-oncology Drug
갑상선암,Thyroid Cancer
교모세포종,Glioblastoma
차세대염기서열분석,Next Generation Sequencing
자연살해세포,Natural Killer Cell
전사체,Transcriptome
면역관문억제제,Immune Checkpoint Inhibitor
암대사,Cancer Metabolism
고형암,Solid Tumor
비소세포폐암,Non-small Cell Lung Cancer
마이크로바이옴,Microbiome
대식세포,Macrophage
아데노바이러스,Adenovirus
구강암,Oral Cancer
마이크로알엔에이,microRNA
면역항암치료,Immunotherapy
병용치료,Combination Therapy
방사선조사,Irradiation
세포증식,Cell Proliferation
임상시험,Clinical Trial
암생존자,Cancer Survivor
